Well,buffer.M,buffer.Name,buffer.pH,buffer.NaCl.M
K24,0.2,Glycine,9.5,0.4
L01,,,,0.6
L02,0.2,Sodium acetate trihydrate,4.5,0.6
L03,0.2,Sodium citrate tribasic dihydrate,5,0.6
L04,0.2,Succinic acid,5.5,0.6
L05,0.2,MES monohydrate,6,0.6
L06,0.2,BIS-TRIS,6.5,0.6
L07,0.2,Imidazole,7,0.6
L08,0.2,HEPES,7.5,0.6
L09,0.2,Tris,8,0.6
L10,0.2,BIS-TRIS Propane,8.5,0.6
L11,0.2,AMPD,9,0.6
L12,0.2,Glycine,9.5,0.6
L13,,,,0.6
L14,0.2,Sodium acetate trihydrate,4.5,0.6
L15,0.2,Sodium citrate tribasic dihydrate,5,0.6
L16,0.2,Succinic acid,5.5,0.6
L17,0.2,MES monohydrate,6,0.6
L18,0.2,BIS-TRIS,6.5,0.6
L19,0.2,Imidazole,7,0.6
L20,0.2,HEPES,7.5,0.6
L21,0.2,Tris,8,0.6
L22,0.2,BIS-TRIS Propane,8.5,0.6
L23,0.2,AMPD,9,0.6
L24,0.2,Glycine,9.5,0.6
M01,,,,0.8
M02,0.2,Sodium acetate trihydrate,4.5,0.8
M03,0.2,Sodium citrate tribasic dihydrate,5,0.8
M04,0.2,Succinic acid,5.5,0.8
M05,0.2,MES monohydrate,6,0.8
M06,0.2,BIS-TRIS,6.5,0.8
M07,0.2,Imidazole,7,0.8
M08,0.2,HEPES,7.5,0.8
M09,0.2,Tris,8,0.8
M10,0.2,BIS-TRIS Propane,8.5,0.8
M11,0.2,AMPD,9,0.8
M12,0.2,Glycine,9.5,0.8
M13,,,,0.8
M14,0.2,Sodium acetate trihydrate,4.5,0.8
M15,0.2,Sodium citrate tribasic dihydrate,5,0.8
M16,0.2,Succinic acid,5.5,0.8
M17,0.2,MES monohydrate,6,0.8
M18,0.2,BIS-TRIS,6.5,0.8
M19,0.2,Imidazole,7,0.8
M20,0.2,HEPES,7.5,0.8
M21,0.2,Tris,8,0.8
M22,0.2,BIS-TRIS Propane,8.5,0.8
M23,0.2,AMPD,9,0.8
M24,0.2,Glycine,9.5,0.8
N01,,,,1
N02,0.2,Sodium acetate trihydrate,4.5,1
N03,0.2,Sodium citrate tribasic dihydrate,5,1
N04,0.2,Succinic acid,5.5,1
N05,0.2,MES monohydrate,6,1
N06,0.2,BIS-TRIS,6.5,1
N07,0.2,Imidazole,7,1
N08,0.2,HEPES,7.5,1
N09,0.2,Tris,8,1
N10,0.2,BIS-TRIS Propane,8.5,1
N11,0.2,AMPD,9,1
N12,0.2,Glycine,9.5,1
N13,,,,1
N14,0.2,Sodium acetate trihydrate,4.5,1
N15,0.2,Sodium citrate tribasic dihydrate,5,1
N16,0.2,Succinic acid,5.5,1
N17,0.2,MES monohydrate,6,1
N18,0.2,BIS-TRIS,6.5,1
N19,0.2,Imidazole,7,1
N20,0.2,HEPES,7.5,1
N21,0.2,Tris,8,1
N22,0.2,BIS-TRIS Propane,8.5,1
N23,0.2,AMPD,9,1
N24,0.2,Glycine,9.5,1
O01,,,,2
O02,0.2,Sodium acetate trihydrate,4.5,2
O03,0.2,Sodium citrate tribasic dihydrate,5,2
O04,0.2,Succinic acid,5.5,2
O05,0.2,MES monohydrate,6,2
O06,0.2,BIS-TRIS,6.5,2
O07,0.2,Imidazole,7,2
O08,0.2,HEPES,7.5,2
O09,0.2,Tris,8,2
O10,0.2,BIS-TRIS Propane,8.5,2
O11,0.2,AMPD,9,2
O12,0.2,Glycine,9.5,2
O13,,,,2
O14,0.2,Sodium acetate trihydrate,4.5,2
O15,0.2,Sodium citrate tribasic dihydrate,5,2
O16,0.2,Succinic acid,5.5,2
O17,0.2,MES monohydrate,6,2
O18,0.2,BIS-TRIS,6.5,2
O19,0.2,Imidazole,7,2
O20,0.2,HEPES,7.5,2
O21,0.2,Tris,8,2
O22,0.2,BIS-TRIS Propane,8.5,2
O23,0.2,AMPD,9,2
O24,0.2,Glycine,9.5,2
P01,,,,4
P02,0.2,Sodium acetate trihydrate,4.5,4
P03,0.2,Sodium citrate tribasic dihydrate,5,4
P04,0.2,Succinic acid,5.5,4
P05,0.2,MES monohydrate,6,4
P06,0.2,BIS-TRIS,6.5,4
P07,0.2,Imidazole,7,4
P08,0.2,HEPES,7.5,4
P09,0.2,Tris,8,4
P10,0.2,BIS-TRIS Propane,8.5,4
P11,0.2,AMPD,9,4
P12,0.2,Glycine,9.5,4
P13,,,,4
P14,0.2,Sodium acetate trihydrate,4.5,4
P15,0.2,Sodium citrate tribasic dihydrate,5,4
P16,0.2,Succinic acid,5.5,4
P17,0.2,MES monohydrate,6,4
P18,0.2,BIS-TRIS,6.5,4
P19,0.2,Imidazole,7,4
P20,0.2,HEPES,7.5,4
P21,0.2,Tris,8,4
P22,0.2,BIS-TRIS Propane,8.5,4
P23,0.2,AMPD,9,4
P24,0.2,Glycine,9.5,4
